Link to Full Case Details,Case Number,Defendant Name,Offence Date,Local Authority,Main Activity,Offence Description,Total Fine
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4795140,4795140,ASM Metal Recycling Ltd[1],03/08/2023,Buckinghamshire,38320 - RECOVERY OF SORTED MATERIALS,"Between 3rd August 2023 and 8th August 2023, ASM Metal Recycling Ltd as an employer, did not ensure the health, safety and welfare at work of all its employees because the workplace was not organised in such a way that pedestrians and vehicles could circulate in a safe manner during hand totting (hand sorting) of waste material.",650000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4747565,4747565,"Brand Energy & Infrastructure Services UK, Ltd.[1]",08/08/2019,Eastbourne,43991 - SCAFFOLD ERECTION,During unloading of mast climber sections using lorry mounted crane the materials fell during the lifting process and fell on operative. DP,1600000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4758303,4758303,BBM Contracts Limited[1],16/11/2020,Reading,41201 - CONSTRUCTION COMMERCIAL BLDGS,Driver fatally injured while undertaking a delivery to a construction site. The delivery area for the site was located below a 11kv distribution Over-head Powerline (OHPL). The Principal Contractor had chosen and prepared the delivery area. There were no physical barriers or warning signs to indicate the presence of the OHPL. No suitable and sufficient assessment of the risks from the OHPL was made.,30000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4781674,4781674,EE Renewables Limited[1],16/12/2022,Fareham,43210 - ELECTRICAL INSTALLATION,"No means of preventing a fall from height when adjusting solar panels. DH failed to ensure that work was properly planned, and supervised in respect of ensuring suitable control measures were installed by the scaffolding company so that work could be carried out safely, so far as is reasonably practicable.",120000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4789718,4789718,Dodwell Farm Limited[1],09/02/2023,Eastleigh,82990 - BUSINESS SUPPORT SERVICE NEC,Fall from height of individual (volunteer) carrying work to replace roof of barn – Life changing injuries,133000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4788441,4788441,Dawn Holliday[1],02/05/2017,Swale,68209 - LET/OPERATION REAL ESTATE NEX,"section 22 of the Health and Safety at Work etc. Act 1974 - 31st October 23 Gas Safety (Installation and Use) Regulations 1998, Regulation 36(3) 11 Feb 23 onwards",0.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4765607,4765607,"Industrial Roofing, Cladding and Consultancy Ltd[1]",06/08/2020,Portsmouth UA,41100 - DEVELOPMENT BUILDING PROJECTS,Inadequate precautions for working at height leading to fatal accident.,160000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4799064,4799064,JHE Construction Limited[1],24/02/2023,Mid Sussex,,Unsafe (no shoring or temporary supports) excavation collapse which result in multi broken bones,16000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4773752,4773752,GLF Schools[1],15/06/2022,Epsom & Ewell,85200 - PRIMARY EDUCATION,Child was going to the toilet during lesson time as failed to go at breaktime. On his way back he put his finger in the door hinge threshold that cut off the top of his finger. To prevent similar incidents occurring we are completing a Risk Assessment of communal areas. Action taken is to install finger guards on the toilet doors. Whilst this is being arranged all doors have been inspected and appropriate action taken. Teachers have been reminded to take all children to the toilet at break time or between rotation. Learning Assistant will continue to patrol the area to provide assistance.,6000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4751604,4751604,Best Car Wash Ltd[1],12/03/2022,West Devon,81299 - CLEANING SERVICES NEC,Failure to comply with Improvement Notice served for failing to ensure that electrical installation is constructed or maintained to prevent danger.,40000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4740437,4740437,Chemring Countermeasures Limited[1],10/08/2018,Wiltshire UA,20510 - MANUFACTURE OF EXPLOSIVES,Proposed Prosecution - Chemring Countermeasures Ltd. Section 2 HSWA – failure to ensure safety of employees during explosive manufacturing process; Reg 6(1) & 7(1) ER 2014 – failure to comply with conditions of explosive licence.,670000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4787280,4787280,G H Hayward Forestry Contractor[1],12/01/2022,Dorset,02100 - SILVICULTURE/FORESTRY ACTIVITY,G H Hayward ForestryContractor - PR - IP suffered life changing injuries - 12/01/22,1000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4809285,4809285,Daniel Hooper[1],03/06/2023,East Devon,43910 - ROOFING ACTIVITIES,No suitable means of moving materials at height.,0.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4811567,4811567,Pearson Hydraulics Limited[1],26/07/2023,Plymouth UA,"24200 - TUBES/PIPES/PROFILES, STEEL",Lack of risk assessment and safe system of work for fault finding / maintenance work on machinery,96333.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4760155,4760155,Permali Gloucester Limited[1],23/06/2022,Gloucester,22210 - PLASTIC PLATE/SHT/TUBE/PROFILE,Inadequate machinery guarding/SSOW,180000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4780798,4780798,Samworth Brothers Limited[1],02/12/2021,Cornwall UA,10710 - MF BREAD/FRESH PASTRY/CAKES,No segregation between operators and reversing vehicles resulting in a fatal incident,1280000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4803377,4803377,The Renovation Men Ltd[1],06/04/2023,Cornwall UA,,"Employee sustained injuries when he fell approximately 2.4m from a first floor flat roof through an open skylight hole of a new build detached house to a concrete floor below. There were no suitable or sufficient risk assessments relating to work at height and no safe system of work. The work at height was not eliminated where possible nor was the distance/ consequences of any fall minimised with control measures such as edge protection or fall prevention methods. Other alternatives would have been reasonably practicable such as working internally from underneath the roof, covering the opening prior to installing the membrane, and the use of personal fall prevention equipment.",30000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4770371,4770371,Wilts & Berks Canal Trust[1],24/08/2016,Wiltshire UA,43290 - CONSTRUCTION INSTALLATION NEC,No measures in place to prevent excavation from collapsing,30000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4760136,4760136,Balfour Beatty Construction Limited[1],07/01/2020,Birmingham,41201 - CONSTRUCTION COMMERCIAL BLDGS,"Fatal accident and major accident on 7/1/20 at University of Birmingham, when the MEWP they were working in at 9m height was struck by an overhead travelling crane and pushed over, due to poor co-ordination of contractors",285000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4783623,4783623,Fablink UK Limited[1],12/01/2023,Wolverhampton,25500 - FORGE/PRESS/STAMP/ROLL METAL,"Prosecution - Fablink UK Limited because they: • failed to properly assess the risks from workplace transport, • failed to implement suitable control measures to ensure safe circulation of pedestrians and vehicles, • failed to maintain work equipment including forklift trucks, • failed to have systems in place to inspect work equipment including forklift trucks, • failed to have suitable monitoring arrangements for the maintenance of work equipment, and, • failed to organise the workplace in such a way to ensure pedestrian safety.",30000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4804958,4804958,Ecclesiastical Steeplejacks Limited[1],13/11/2020,Birmingham,43999 - SPECIALISED CONST NOT SCAFFOLD,Death of steeplejack David Clover on 13/11/20 following a fall from a church steeple,60000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4764279,4764279,Mark Kendall[1],14/06/2020,Lichfield,43220 - INSTALL PLUMB/HEAT/AIR-CON,****** carried out gas work whilst not being Gas Safe Registered and not holding the correct and current ACs qualifications. He left gas appliances ‘Immediately Dangerous and/or At Risk”.,0.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4796384,4796384,Paul William Heritage[1],04/12/2022,Warwick,01500 - MIXED FARMING,"The injured party was feeding peas into a feed silo which we used to feed livestock. He was using an auger, which is a large metal tube that is positioned between a truck and a silo. This was working correctly and the process was working fine. At some stage the injured party passed close by the silo as it collapsed. No reason was reported to the person filling in the RIDDOR.",700.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4768646,4768646,D T Gittins[1],08/02/2022,Shropshire UA,01110 - GROW CEREALS/LEGUMES/OIL SEEDS,"Employer failed to provide adequate training to their employee for the purposes of ensuring their health and safety when operating a chainsaw to fell tress, including methods to adopt when using a chainsaw in relation to the risks that entail and precautions to be taken with respect to felling larger trees.",500.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4709727,4709727,Bromsgrove Steel Limited[1],01/10/2019,Sandwell,25110 - MF METAL (PARTIAL) STRUCTURES,"Unplanned, unsupervised and unsafely carried out work at height under the control of Bromsgrove Steel Ltd.",5000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4791744,4791744,Snowdome Limited[1],24/09/2021,Tamworth,93110 - OPERATION OF SPORTS FACILITIES,Snowdome Limited did not take all reasonably practicable precautions to manage the risk of collisions between toboggans and pedestrians on the main ski slope during tobogganing activities.,100000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4793201,4793201,Screening Consultancy and Supplies Ltd[1],25/11/2022,Rugby,22190 - MF OF OTHER RUBBER PRODUCTS,"Screening Consultancy and Supplies Ltd - PR - During a manufacturing process which involved using a radial arm drill to drill rubber, IP was cleaning rubber waste whilst the drill was still operating. IP’s right hand became entangled in the machine’s rotating parts.",28000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4773627,4773627,Andrew Turnbull (Partner G & MF Turnbull)[1],21/09/2020,North Yorkshire,,Inadequate measures in place to protect MoPs from cattle with calves when using footpaths. Fatality resulted. Several previous incidents.,1589.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4722570,4722570,BAM Nuttall Limited[1],30/10/2017,Leeds,,"DP and another op were asked to clear rubbish from the bottom of a weir, the boat took on water and overturned, expelling the ops into the water. DP was caught in the fast-churning water at the bottom of the weir and subsequently drowned when it was reasonably practicable to clear the rubbish using other methods which did not expose operatives to risk.",2334000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4723864,4723864,Cooper & Westgate Co Ltd[1],08/02/2019,York,43390 - OTHER BUILDING COMPLETION,Company failed to ensure safety of member of public in own home due to lack of control measures to prevent a fall of more than 2m through the bathroom floor that resulted in injuries leading to death.,150000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4676770,4676770,Arthur Brook Limited[1],21/09/2018,Kirklees,,Arthur Brook Ltd - Fatality - employee caught in conveyor - HSWA 2(1) CM 4.7.16365 & 4.7.21708,200000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4785004,4785004,Daisy Nig Bai[1],01/10/2015,Kirklees,,"Was a director of BW Recycling Ltd at time, when company introduced working platform which permitted access to dangerous moving parts on a plastic baler.",0.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4773601,4773601,David Turnbull (Partner G & MF Turnbull)[1],21/09/2020,North Yorkshire,,Inadequate measures in place to protect MoPs from cattle with calves when using footpaths. Fatality resulted. Several previous incidents.,1390.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4757962,4757962,David Wood Baking Limited[1],18/03/2022,Scarborough,10710 - MF BREAD/FRESH PASTRY/CAKES,Proactive Prosecution for failing to control employees’ exposure to flour dust,300000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4723522,4723522,Harehead Farms[1],22/03/2021,Borders UA,01621 - FARM ANIMAL BOARDING AND CARE,"Employee sustained fatal burn injuries when his clothes caught fire while he was attempting to control an area of unplanned fire that had broken out, by working directly in front of, and down-wind of the flames that were spreading across the hill; did not provide an assessment of the risks involved in operations or identify the controls that were to be taken to manage those risks, including fire-fighting arrangements to deal with foreseeable unplanned or uncontrolled fire which may occur.",100000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4746653,4746653,Martin Mitchell[1],29/09/2020,Wakefield,01410 - RAISING OF DAIRY CATTLE,Fatality and serious life changing injury suffered by two dog walkers who were trampled by cattle,0.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4721552,4721552,Sanctuary Housing Association[1],01/01/2020,Wirral,68320 - MGT REAL ESTATE 4 FEE/CONTRACT,Proposed prosecution - Failure to control legionella.,900000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4627509,4627509,Global Port Services (Scotland) Limited[1],09/04/2018,Aberdeen City UA,77320 - RENT/LEAS CONSTRUCT/CIVIL EQPT,Failed to adequately plan the contract lifting operation by failing to identify and prepare a suitable place to set down the load(s) and failed to ensure that it was carried out in a safe manner as a load of timber weighing 1623.45kg was lowered and laid onto a safety deck system causing it to collapse and injured a workman who was working underneath the safety deck system,430000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4693725,4693725,Grampian Health Board[1],24/02/2020,Aberdeen City UA,86220 - SPECIALIST MEDICAL PRACTICE,"Failed to ensure that a patient identified as a high risk for suicide was not exposed to risk by having access to hazards such as plastic bags in an area of the ward where patients are able to self-isolate, this resulted in the death of the patient when he was able to access a clinical waste bag and tape within his individual room the ward, self-isolate within the en-suite bathroom of this room and use these materials to suffocate, and failed to conduct a suitable and sufficient assessment of the risks posed by environmental hazards for suicide and self harm on the ward and, as a consequence, you failed to ensure that patients identified as a high risk risk for suicide were not exposed to risk by having access to hazards such as plastic bags on the ward.",60000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4615982,4615982,Grampian Health Board[1],16/05/2013,Aberdeen City UA,86220 - SPECIALIST MEDICAL PRACTICE,"Failed to ensure that patients with suicidal tendencies were not exposed to risk by having access to ligature points including a sink tap in the shower/toilet room of dormitory 2, where the patients were able to self-isolate. The access to the ligature point resulted in the death of a patient",60000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4745494,4745494,VFS (Southampton) Limited[1],05/12/2018,Eastleigh,29100 - MANUFACTURE OF MOTOR VEHICLES,Inadequate safe system of work to ensure workplace transport arrangements on the manual assembly vehicle assembly line.,100000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4797176,4797176,Sarabjit Singh[1],25/08/2021,Bradford,43290 - CONSTRUCTION INSTALLATION NEC,Fatal fall from height from unprotected scaffold/defected ladder,
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4760743,4760743,Samaki Kidogo Limited[1],26/08/2022,Argyll & Bute UA,03110 - MARINE FISHING,"Did not have a suitable system in place for the prompt recovery of an incapacitated diver from the water. Additionally you did not have a sufficient quantity of emergency medical oxygen which could be provided to casualty for the likely duration of their transit to a suitable medical facility. There was no lifeline attached to the working diver or a system of two way communications. Additionally there was no suitable emergency diver recovery system to assist with the recovery of an incapacitated diver from the water, consequently there was no means for the supervisor to monitor or communicate with the working diver or to facilitate the prompt recovery of an incapacitated diver from the sea bed or from the surface. Failed to plan, manage and conduct a diving operation and use suitable and sufficient equipment. Due to the lack of personnel involved in the diving project a substantial delay occurred in the recovery of an unconscious and incapacitated diver from the water. Failed to ensure that the plant made available was maintained in a safe working condition. Failed to ensure so far as reasonably practicable that the nominated dive supervisor for a diving operation failed to comply with the requirements and prohibitions imposed on him to observe the provisions of the diving project plan.",8000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4797832,4797832,Nasmyth Henton Limited[1],06/06/2023,Hinckley & Bosworth,25620 - MACHINING,Naysmyth Henton Ltd - PR re HSWA s2 arising from amputation,50000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4806675,4806675,Pendle Woodcraft (Blackburn) Ltd[1],05/06/2023,Blackburn UA,16290 - WOOD/CORK/STRAW/PLAITING PROD,The dutyholder have repeated verbal and written warning and advice including enforcement notices on the same matters but the failings have been repeated. This has exposed employees and others to unacceptable risks from wood dust to their health but also their safety through fire and explosion risks.,6000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4811546,4811546,Jordan Thomas Hay-Ellis[1],24/02/2023,Mid Sussex,,Prosecution Jordan Thomas Hay-Ellis,2000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4786800,4786800,Weather Master Roofing Ltd[1],21/02/2023,Haringey,43910 - ROOFING ACTIVITIES,Failure to put in place the appropriate arrangements to ensure the health and safety of those under its control whilst working at height. Failure to comply with the requirements of a Notice,4000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4786821,4786821,Weather Master Roofing Ltd[1],21/02/2023,Surrey Heath,,Failure to put in place the appropriate arrangements to ensure the health and safety of those under its control whilst working at height. Failure to comply with the requirements of a Notice,0.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4793011,4793011,Sussex Joinery Ltd[1],08/02/2023,Mid Sussex,16230 - BUILDERS CARPENTRY/JOINERY NEC,"The accident occurred as the machine operator was manually feeding a small section of timber through the spindle moulder due to the automated feeder being insufficient for the size of timber used. While the wood was being cut, it kicked back resulting in the operators hand making contact with the cutting block, severing the tips of 4 fingers to his right hand.",10000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4798553,4798553,Stuart Hall[1],02/02/2023,Ribble Valley,,Unintended collapse of building leading to risk of serious personal injury.,0.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4783920,4783920,The Conservators Of Ashdown Forest[1],25/01/2023,Wealden,94990 - MEMBERSHIP ORGANISATIONS NEC,Unsafe tree felling resulting in MOP being hit by a tree. Section 3(1) HSW,8000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4794811,4794811,Gresham Office Furniture Limited[1],04/05/2023,Bolton,31010 - MF OFFICE AND SHOP FURNITURE,Failure to guard machinery. Bodily contact made with moving parts of machine.,50000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4793797,4793797,Sabel Cosmetics Limited[1],15/01/2023,Calderdale,20420 - MF PERFUMES/TOILET PREPARATION,Proactive inspection identified serious electrical safety deficiencies which had been previously identified and not rectified.,56695.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4792810,4792810,Grayshill Ltd.[1],19/10/2022,North Lanarkshire UA,10130 - PRODN MEAT/POULTRY MEAT PRODS,"Failure to ensure there was a suitable safe system of work in place for checking equipment for safety prior to use, namely the securing pin on the telehandlers prior to use and as a result the injured person suffered severe injuries.",80000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4797249,4797249,Kosher Poultry Limited[1],06/10/2022,Manchester,,Employee’s right hand was caught in an in-running nip resulting in there arm being dragged into the conveyor belt. The employee sustained devastating cutting and tearing injuries to their right hand and forearm requiring surgical intervention and plastic surgery. The injuries sustained have caused disablement.,12000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4777527,4777527,Pemberton Timber Frame Ltd[1],13/01/2023,Thanet,16290 - WOOD/CORK/STRAW/PLAITING PROD,Use of unsuitable work equipment.,12000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4804256,4804256,Sundorne Products (Llanidloes) Limited[1],06/10/2022,Powys UA,,"Failure to take all reasonably practicable measures to ensure compactor machines were operated and used in a safe manner, by both employees and members of the public. These failings include inadequate guarding, inadequate information, instruction and training, inadequate supervision and monitoring, and failing to carry out an adequate risk assessment.",100000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4785874,4785874,JTW Contracts Limited[1],13/12/2022,,46719 - WSL FUELS/RELATED PRODUCTS NEC,Load not Secured,23334.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4783526,4783526,Tarmac Trading Limited[1],29/09/2022,Edinburgh UA,23610 - CONCRETE CONSTRUCTION PRODUCTS,"Contractors entered water recycling tank to break up solidified slurry, when the agitator in the tank actuated, resulting in injuries to both operatives (soft tissue injuries and broken ribs/crush injuries).",20000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4786466,4786466,Pink Skips (NW) Ltd[1],05/10/2022,,,Failure to put measures in place to effectively segregate vehicles and pedestrians including waste sorters.,106700.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4792563,4792563,J Wareing & Son (Wrea Green) Ltd[1],16/01/2023,Preston,,Failure to properly plan and supervise work at height and take suitable control measures to prevent a fall from height.,220000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4772691,4772691,Southampton Container Terminals Ltd[1],20/09/2022,Southampton UA,52242 - CARGO HANDLING FOR AIR TRANSPT,"On the afternoon of 20th September 2022 at DP World Southampton, Western Docks, IP was conducting planned maintenance work on a Straddle Carrier (a workplace plant vehicle). He accessed the driver vehicle cab and fell through a gap in the cab floor left during contracted floor glass replacement maintenance, falling 30ft/11m onto the workshop concrete floor.",1000000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4806108,4806108,Timbercraft Windows & Doors Limited[1],02/12/2022,Colchester,99 - Not Applicable,"Proactive prosecution following a site visit, poor conditions in relation to control of wood dust and machinery guarding",4000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4794389,4794389,H2O Renewables Limited[1],23/11/2022,Salford,,Unsafe Work at Height – Fall through fragile skylight of sub-contractor operative whilst fitting solar panels to sports centre roof.,106720.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4794393,4794393,Green Projects Ltd[1],23/11/2022,Salford,43999 - SPECIALISED CONST NOT SCAFFOLD,Unsafe Work at Height – Fall through fragile skylight of contractor operative whilst fitting solar panels to sports centre roof,13340.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4756013,4756013,M White (Skips) Limited[1],09/08/2022,,,Failure to ensure company has ELCI; poor H&S standards; breach of notices etc,65000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4780268,4780268,Tronox Pigment UK Limited[1],19/08/2022,North East Lincolnshire,20120 - MF OF DYES AND PIGMENTS,Injury to middle finger of left hand while clearing blockage on X170 RAV on ROC Plant – inadequate system of work,280000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4799676,4799676,Paul Freeman Ltd[1],31/10/2022,North East Derbyshire,,Insufficient control measures in place for work at height.,40000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4756061,4756061,Jamie White[1],09/08/2022,,,Section 37 HSWA prosecution of Jamie White as Director of M White (Skips) Limited for failure to ensure company has ELCI; poor H&S standards,200.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4807296,4807296,Neil Speakman[1],16/07/2022,Bury,02200 - LOGGING,"Proposed prosecution as a result of a fatality. Child ran over by Telehandler on yard, no segregation in place. CPS taking case with GNM charge",
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4789725,4789725,William Stobart & Son Limited[1],20/06/2022,Warrington UA,49410 - FREIGHT TRANSPORT BY ROAD,Workplace transport control failures,160000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4768938,4768938,H & S Construction (SOT) Limited[1],15/06/2022,,,Repeated enforcement by HSE re welfare – inspection prompting investigation was the 4th breach of welfare requirements by company since October 2020.,6000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4778477,4778477,West Sussex County Council[1],13/06/2022,Horsham,38120 - COLLECTION OF HAZARDOUS WASTE,West Sussex CC- PR - Failure to train employee on high risk woodworking machine,16000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4768018,4768018,Merchant Homes Partnerships Limited[1],11/05/2022,Glasgow UA,,"Did not provide traffic routes that were suitable for the persons or vehicles using them, sufficient in number, in suitable positions and of sufficient size, because the traffic route at the rear of plots 107-121 was uneven and the edges were not suitably protected or demarcated which led to the in telescopic overrunning the edge of the traffic route and overturning down an embankment which lead to operative suffering fatal injuries.",160000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4782475,4782475,Usha Martin UK Limited[1],03/05/2022,Bassetlaw,28220 - MF LIFTING/HANDLING EQUIPMENT,Prosecution of company arising from an accident to an employee causing life changing injuries.,200000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4764466,4764466,Wood Transmission and Distribution Limited[1],06/04/2022,Tamworth,35120 - TRANSMISSION OF ELECTRICITY,"Wood Transmission and Distribution Ltd failed to ensure that their work at height, namely electricity pylon demolition, was properly planned, appropriately supervised and carried out in a manner which is so far as is reasonably practicable safe",240000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4767944,4767944,Ochil Timber Products Limited[1],01/07/2022,,16230 - BUILDERS CARPENTRY/JOINERY NEC,"Failed to provide and maintain a safe system of work for the storage of roof trusses to prevent them from falling and they did fall, crushing your employee to his severe injury and ultimately his death,",66000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4755468,4755468,McTaggart Construction Limited[1],04/02/2022,Glasgow UA,,"A mobile elevated work platform was hired to be used to repair the zinc abutment cladding on the block of flats and that you did engage an operator to operate the platform and take a contractor up in the basket to carry out said repairs without ensuring that a risk assessment, lifting plan, work at height plan and segregation from the live road were in place, such that the boom of the platform encroached over the live road and a bus drove up the live road and struck the boom causing the contractor to be thrown from the basket, strike a parked car and land on the ground sustaining serious injuries.",215000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4764022,4764022,Partwell Special Steels Limited[1],25/11/2021,Blackburn UA,33120 - REPAIR OF MACHINERY,"Proposed Prosecution as a result of a fatality. Partwell Special Steels Limited - The DP was fatally injured when a piece of heavy machinery, the Atom press, became unstable and toppled over as an attempt was made to move it. The employees undertaking the activity were not trained to move heavy machinery. The method of moving the heavy machinery had not been suitably planned or risk assessed. There was insufficient supervision by the duty holder of the staff undertaking the lift.",80000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4763298,4763298,Maynard & Harris Plastics[1],07/10/2021,,22220 - MF OF PLASTIC PACKING GOODS,Death of employee who became entangled in the Colchester Mastiff Lathe.,330000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4800958,4800958,Unity Multi Academy Trust[1],01/09/2021,Warwick,85590 - OTHER EDUCATION NEC,"The student that was injured is a SEN student with a diagnosis of Autistic spectrum Disorder (ASD) and global developmental delay, is also non-verbal and has been diagnosed with PICA. IP was in a classroom lesson with other students. When the lesson had finished, the students were sent to get their coats to go outside. When staff joined the students in the garden they saw the IP flapping his arms and was blueish in colour. Staff checked his airway and his tongue was at the back of his throat. It was clear that he was choking, but staff couldn’t see what it was. Emergency services were then called. The Heimlich manoeuvre was performed. This was unsuccessful and the IP collapsed to the floor. Following the emergency services instructions CPR was performed on the IP. Staff members took it in turns delivering CPR. When the Police arrived, they took over from the school staff to deliver the CPR. An ambulance arrived and the medical staff were updated by the police. The IP was taken to Warwick Hospital. The IP died 3 days later, on 12/01/2023.",300000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4537810,4537810,Regen Waste Limited[1],19/04/2017,Not Applicable,,DP struck by concrete block which fell from vehicle during unloading operation.,23000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4634075,4634075,Tata Chemicals Europe Limited[1],30/11/2016,Cheshire West and Chester UA,20130 - INORGANIC BASIC CHEMICALS NEC,"Prosecution-TCELtd-Contractor Fatality,burns from Milk of Lime at TCELtd 301116",1125000.00
